grupo                                        solucion  clase  esperada  conexo  veredicto
aleatorios/N5/clase0      cruce_uniforme_pob25_mejor4      1         1    True  OK
aleatorios/N5/clase0      cruce_uniforme_pob25_mejor5      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob25_mejor1      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob25_mejor2      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob25_mejor3      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob25_mejor4      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob25_mejor5      1         1    True  OK
aleatorios/N5/clase0      cruce_uniforme_pob50_mejor1      1         1    True  OK
aleatorios/N5/clase0      cruce_uniforme_pob50_mejor2      1         1    True  OK
aleatorios/N5/clase0      cruce_uniforme_pob50_mejor3      1         1    True  OK
aleatorios/N5/clase0      cruce_uniforme_pob50_mejor4      1         1    True  OK
aleatorios/N5/clase0      cruce_uniforme_pob50_mejor5      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob50_mejor1      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob50_mejor2      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob50_mejor3      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob50_mejor4      1         1    True  OK
aleatorios/N5/clase0      cruce_un_punto_pob50_mejor5      1         1    True  OK
aleatorios/N5/clase0     cruce_uniforme_pob100_mejor1      1         1    True  OK
aleatorios/N5/clase0     cruce_uniforme_pob100_mejor2      1         1    True  OK
aleatorios/N5/clase0     cruce_uniforme_pob100_mejor3      1         1    True  OK
aleatorios/N5/clase0     cruce_uniforme_pob100_mejor4      1         1    True  OK
aleatorios/N5/clase0     cruce_uniforme_pob100_mejor5      1         1    True  OK
aleatorios/N5/clase0     cruce_un_punto_pob100_mejor1      1         1    True  OK
aleatorios/N5/clase0     cruce_un_punto_pob100_mejor2      1         1    True  OK
aleatorios/N5/clase0     cruce_un_punto_pob100_mejor3      1         1    True  OK
